LONG	LAT	WATER_LEVE	WATER_REDU	QUANTITY	NO	DIFF	DEPTH	DEPTH4DEV	IDOBJECT	ID_WELL	EX	NY	ZONE	LINK	Z
97.930	18.380	3.000	15.000	4.540	157	26	28.500	0.000	152	DCD18500	387751	2032972	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18500	-28.50000000000
98.040	19.760	7.500	13.000	10.000	226	26	33.000	32.000	51	MHS20	399745	2186303	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=MHS20	-33.00000000000
97.920	18.190	9.000	12.000	1.590	110	26	34.500	0.000	293	DCD18452	386215	2012182	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18452	-34.50000000000
97.940	19.300	10.000	24.000	2.700	194	26	36.000	0.000	145	DCD18303	389518	2135459	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18303	-36.00000000000
97.960	19.260	3.000	8.000	6.100	209	27	30.000	0.000	144	DCD18283	391351	2130675	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18283	-30.00000000000
97.910	18.150	3.000	9.000	5.500	60	27	30.000	0.000	302	DCD18476	385703	2007992	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18476	-30.00000000000
98.440	19.390	3.000	12.000	2.270	1000	27	30.000	0.000	107	DCD18385	441550	2144709	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18385	-30.00000000000
98.440	19.330	3.000	18.000	4.500	992	27	30.000	0.000	72	DCD18482	441527	2138011	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18482	-30.00000000000
98.420	19.390	3.000	21.000	3.000	907	27	30.000	0.000	80	DCD18384	439800	2145010	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18384	-30.00000000000
98.440	19.370	9.000	18.000	1.360	997	27	36.000	0.000	79	DCD18381	442136	2142123	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18381	-36.00000000000
97.920	18.130	9.150	18.290	1.820	92	27	36.590	0.000	316	AFD7912	385937	2006023	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=AFD7912	-36.59000000000
97.910	18.210	9.150	24.390	3.410	62	27	36.590	0.000	230	AFD7893	385161	2013996	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=AFD7893	-36.59000000000
97.910	18.090	16.200	21.800	4.000	51	28	44.000	44.000	304	5501G174	385448	2001020	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=5501G174	-44.00000000000
97.920	18.660	0.600	9.000	4.540	121	28	28.500	0.000	31	DCD18364	386888	2063885	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18364	-28.50000000000
97.940	18.160	2.000	10.000	10.000	181	28	30.000	28.000	294	5401J020	388790	2008459	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=5401J020	-30.00000000000
97.960	19.290	2.000	12.000	6.000	210	28	30.000	28.000	112	5401J032	391677	2133894	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=5401J032	-30.00000000000
98.430	19.360	2.000	13.000	3.400	945	28	30.000	0.000	65	DCD18372	441048	2140783	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18372	-30.00000000000
98.440	19.330	2.000	23.000	2.300	993	28	30.000	0.000	77	DCD18393	441792	2138496	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18393	-30.00000000000
98.040	19.770	3.000	7.000	20.000	228	29	32.000	32.000	58	MHS22	399621	2186658	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=MHS22	-32.00000000000
97.940	18.120	17.000	32.000	8.000	176	29	46.000	46.000	266	5401J021	388378	2004115	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=5401J021	-46.00000000000
97.930	18.160	0.500	4.000	12.000	146	30	30.000	22.000	225	MHS10	386956	2008257	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=MHS10	-30.00000000000
97.930	18.370	2.100	26.900	3.000	155	30	32.000	32.000	184	5501G178	387764	2032424	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=5501G178	-32.00000000000
98.440	19.330	12.000	30.000	3.300	994	30	42.000	0.000	81	DCD18397	442056	2138347	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18397	-42.00000000000
97.950	18.830	18.000	42.000	1.590	197	30	48.000	0.000	8	DCD18346	389599	2083366	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18346	-48.00000000000
98.200	19.680	20.000	5.000	4.000	267	30	50.000	50.000	40	5401F036	417196	2176839	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=5401F036	-50.00000000000
97.910	18.010	30.000	0.000	4.000	37	30	60.000	60.000	274	6001F176	384923	1992319	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=6001F176	-60.00000000000
98.050	18.120	48.000	15.000	4.000	231	30	78.000	78.000	320	6001F180	400432	2004110	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=6001F180	-78.00000000000
97.850	18.600	50.000	66.000	3.000	7	30	80.000	80.000	25	5901A015	379198	2057420	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=5901A015	-80.00000000000
97.930	18.050	12.200	24.390	4.550	132	30	42.680	0.000	352	AFD7948	386971	1996342	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=AFD7948	-42.68000000000
97.910	18.130	6.100	15.240	2.270	56	30	36.590	0.000	219	AFD7909	385616	2005635	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=AFD7909	-36.59000000000
97.920	18.140	6.100	18.290	4.550	100	30	36.590	0.000	216	AFD7910	386234	2006443	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=AFD7910	-36.59000000000
97.930	18.170	9.100	28.900	2.000	149	31	40.000	40.000	203	5501G189	387145	2009614	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=5501G189	-40.00000000000
97.940	19.070	7.000	18.000	10.000	190	31	38.000	36.000	138	5401J029	388784	2109584	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=5401J029	-38.00000000000
97.920	18.110	3.470	2.880	6.850	85	31	34.500	25.500	232	TG51	385765	2003042	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=TG51	-34.50000000000
97.930	18.040	11.280	27.440	4.090	129	31	42.680	0.000	343	AFD7933	387049	1995998	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=AFD7933	-42.68000000000
97.920	18.140	4.500	22.000	2.700	101	32	36.000	32.000	212	DG296	386249	2006605	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DG296	-36.00000000000
97.930	18.130	10.500	7.000	4.500	143	32	42.000	40.000	265	DG301	387703	2004969	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DG301	-42.00000000000
98.450	19.350	10.500	21.000	1.360	1028	32	42.000	0.000	67	DCD18401	442356	2139724	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18401	-42.00000000000
98.440	19.310	15.000	16.500	1.360	987	32	46.500	0.000	101	DCD18420	441346	2135692	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18420	-46.50000000000
97.920	18.130	2.590	5.840	10.390	93	32	34.500	25.500	292	TG53	386410	2005203	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=TG53	-34.50000000000
97.910	18.130	4.000	6.000	8.600	57	32	36.000	0.000	222	DCD18488	385675	2005744	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18488	-36.00000000000
98.160	18.290	18.000	12.000	6.000	254	32	50.000	48.000	307	5401J035	411876	2023591	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=5401J035	-50.00000000000
97.910	18.050	1.830	3.490	10.390	46	33	34.500	31.500	246	TG48	385447	1997021	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=TG48	-34.50000000000
98.220	19.690	3.000	0.000	3.000	276	33	36.000	36.000	55	5901A041	419237	2178115	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=5901A041	-36.00000000000
98.440	19.290	7.500	24.000	1.140	985	33	40.500	0.000	87	DCD18419	441423	2133337	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18419	-40.50000000000
97.930	18.140	15.000	4.000	6.000	144	33	48.000	36.000	273	TF390	387838	2006129	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=TF390	-48.00000000000
97.910	18.120	36.000	6.000	4.050	53	33	69.000	57.000	313	DG305	385425	2004920	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DG305	-69.00000000000
97.910	18.700	2.000	16.000	4.000	76	34	36.000	36.000	19	5901F173	385874	2068110	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=5901F173	-36.00000000000
97.830	19.400	6.000	0.000	10.000	5	34	40.000	40.000	148	6101G019	377705	2145843	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=6101G019	-40.00000000000
97.950	19.410	8.000	2.000	6.000	202	34	42.000	36.000	129	MHS4	390457	2147120	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=MHS4	-42.00000000000
98.060	18.120	1.500	3.000	15.000	235	35	36.000	30.000	157	5401J027	401350	2003871	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=5401J027	-36.00000000000
97.940	19.380	6.000	19.500	4.540	195	35	40.500	0.000	130	DCD18318	389736	2144231	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18318	-40.50000000000
97.960	19.430	1.000	11.000	3.000	214	35	36.000	36.000	122	5807G009	391081	2149220	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=5807G009	-36.00000000000
98.380	19.470	5.000	0.000	2.000	741	35	40.000	40.000	105	5901A031	435519	2153177	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=5901A031	-40.00000000000
97.940	19.240	6.000	3.000	6.000	192	36	42.000	42.000	132	MHS2	388869	2128203	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=MHS2	-42.00000000000
98.260	19.530	9.000	18.000	7.000	330	36	45.000	45.000	41	5401J002	423364	2160361	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=5401J002	-45.00000000000
98.460	19.390	12.000	36.000	1.140	1041	36	48.000	0.000	97	DCD18386	444176	2144834	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18386	-48.00000000000
98.060	18.160	17.000	0.000	10.000	236	36	53.000	53.000	248	6101G012	401324	2008670	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=6101G012	-53.00000000000
98.080	18.920	30.000	0.000	3.000	244	36	66.000	66.000	16	6101G027	403779	2092441	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=6101G027	-66.00000000000
97.910	18.340	6.100	18.290	9.090	72	37	42.680	0.000	176	AFD9721	385447	2028342	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=AFD9721	-42.68000000000
97.920	18.130	6.100	18.290	3.410	94	37	42.680	0.000	218	AFD7908	386120	2005918	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=AFD7908	-42.68000000000
97.960	18.380	13.000	0.000	8.000	205	37	50.000	50.000	154	6101G015	391137	2033442	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=6101G015	-50.00000000000
