Longitude	Latitude	Distance
98.284566	18.400861	10.798854
98.284586	18.99756	14.826796
98.284687	18.400907	13.683249
98.284804	18.997423	10.801027
98.284855	18.400999	4.897642
98.284876	18.997354	10.801027
98.284892	18.401025	4.897642
98.284904	18.331705	37.176557
98.284911	18.994075	23.434191
98.284973	18.997309	11.371625
98.284988	18.40105	10.504232
98.285118	18.997332	15.452782
98.285129	18.99403	19.363079
98.28515	18.401084	17.066302
98.285298	18.993961	19.363079
98.285304	18.33166	24.426843
98.285311	18.401085	17.066302
98.28536	18.997356	15.455648
98.285436	18.991449	18.750968
98.28545	18.991617	18.750968
98.285452	18.991281	18.751193
98.285464	18.991813	21.864642
98.285505	18.997379	15.455648
98.285511	18.991057	21.600825
98.28552	18.401063	22.087725
98.285533	18.331691	18.753616
98.285551	18.992093	16.759605
98.285609	18.992234	16.759605
98.285615	18.990889	16.521013
98.285661	18.993756	21.907295
98.285709	18.331667	18.753616
98.285712	18.992444	25.749356
98.285719	18.990777	16.521013
98.285722	18.997425	23.42713
98.285774	18.400976	28.555933
98.285782	18.993596	10.508056
98.285807	18.993504	10.508056
98.285808	18.993252	20.560349
98.285832	18.993068	20.560349
98.285843	18.992725	6.738916
98.285852	18.990694	12.773924
98.285857	18.992784	6.738916
98.285969	18.990666	11.393454
98.285988	18.997426	11.36901
98.285999	18.331657	30.652371
98.28607	18.990627	11.393454
98.286085	18.99738	11.36901
98.28611	18.400889	36.694938
98.286242	18.990601	18.365396
98.286278	18.997358	20.490268
98.286313	18.331658	25.517385
98.286426	18.990573	16.91566
98.286555	18.331659	25.517385
98.286581	18.990532	13.566181
98.286619	18.400659	30.591487
98.286692	18.990469	13.566181
98.286738	18.99713	45.026458
98.286825	18.990316	22.07708
98.286857	18.331671	19.18558
98.286874	18.400528	25.857559
98.286958	18.990162	15.321713
98.287018	18.990037	15.321713
98.287038	18.331684	19.18558
98.287053	18.996856	9.170246
98.287085	18.989799	11.766762
98.287097	18.989694	11.766762
98.287105	18.400451	25.857559
98.287126	18.99681	9.170246
98.287152	18.98955	16.956123
98.287241	18.989327	24.16489
98.287301	18.989117	1.913992
98.287303	18.9891	1.913992
98.287338	18.989029	8.673861
98.287343	18.996742	24.114476
98.287352	18.331731	25.644406
98.287406	18.40042	25.141466
98.287486	18.988862	24.262357
98.287594	18.331709	22.033684
98.287637	18.400476	25.141466
98.287658	18.996605	12.95583
98.287716	18.988632	22.1786
98.287779	18.996583	12.95583
98.2878	18.331675	22.033684
98.287856	18.400576	22.566518
98.287886	18.988514	3.059927
98.287914	18.988508	3.059927
98.287924	18.996583	12.710179
98.287994	18.400731	22.566518
98.28802	19.014858	20.585152
98.288045	18.996583	10.475016
98.28805	19.015061	22.389366
98.288082	18.988501	17.685206
98.288085	19.025376	24.677885
98.28813	19.025594	19.38418
98.28814	18.400922	26.302571
98.288141	18.996606	10.475016
98.288156	19.015236	22.389366
98.288163	18.331653	38.370745
98.288173	19.014742	20.585152
98.288224	19.025086	22.456852
98.288252	19.025725	16.090973
98.288288	18.988495	10.712382
98.288301	19.024898	20.996986
98.288323	19.015367	21.644707
98.288325	19.026494	18.021371
98.288326	19.026291	22.582014
98.288343	19.025841	16.090973
98.288372	19.026088	1.618519
98.288373	19.026074	1.618519
98.288387	19.014671	4.383295
98.288388	18.988473	10.712382
98.288388	18.988473	10.712382
98.288396	19.020654	12.987546
98.288396	19.020494	17.754277
98.288401	19.02664	18.021371
98.288409	19.024739	17.96092
98.288423	18.401163	40.141187
98.288428	19.014664	4.383295
98.288443	19.020335	7.210004
98.288456	19.020755	12.987546
98.28846	19.015513	21.644707
98.288469	19.020275	7.210004
98.288489	19.020117	17.659441
98.288503	18.996791	12.710199
98.288534	19.016108	24.212887
98.288534	19.01589	20.978951
98.288535	19.015701	20.978951
98.288537	18.331666	22.918138
98.288556	18.98843	14.068198
98.288558	19.019937	4.319309
98.288562	19.024667	15.2188
98.288578	19.01634	25.234287
98.288578	19.019903	4.319309
98.288597	19.031798	34.490043
98.288614	19.026786	27.661461
98.288624	18.996791	10.475558
98.288632	19.014541	25.40347
98.288654	19.0208	20.946763
98.28866	19.031494	17.853883
98.288671	18.988366	14.068198
98.288672	19.032118	36.390376
98.288684	19.016544	11.76232
98.288699	19.024624	6.567812
98.28872	18.401416	39.375708
98.288721	18.996814	10.475558
98.288731	19.019787	16.075962
98.288739	19.031352	13.148111
98.288746	18.331723	22.775488
98.288758	19.024605	6.567812
98.288784	19.016592	11.76232
98.288786	19.030522	25.49711
98.288798	19.031247	13.148111
98.288801	19.02215	24.41429
98.288817	18.996861	11.375873
98.288818	19.030188	32.618836
98.288822	19.020902	15.277448
98.288827	19.026946	28.618368
98.288831	19.022368	12.566616
98.288833	19.024547	10.202646
98.288854	19.019701	16.075962
98.288861	19.03074	25.49711
98.288869	19.032481	31.949246
98.288875	19.031045	23.966369
98.288892	19.014382	15.92276
98.288907	19.022455	12.566616
98.288924	19.021933	24.591051
98.288938	18.99693	12.958314
98.288947	19.020972	0.978149
98.288947	19.016592	16.119586
98.288952	19.020979	0.978149
98.28896	18.331749	22.775488
98.288985	18.988243	9.179495
