LONG	LAT	DPGAG	MMIYAMAZAK	DISTKM	DPGAGAL
99.18301	17.82354	0.38	9	492.589880	374.80820170
99.18301	17.84854	0.38	9	492.028259	374.80820170
99.18301	17.87354	0.38	9	491.481384	374.80820170
99.18301	17.89854	0.38	9	490.949303	369.48122940
99.18301	17.92354	0.36	9	490.432066	354.46136430
99.18301	17.94854	0.34	9	489.929719	332.54154020
99.18301	17.97354	0.32	9	489.442307	312.63207930
99.18301	17.99854	0.34	9	488.969877	337.30561070
99.18301	18.02354	0.37	9	488.512470	360.34437360
99.18301	18.04854	0.39	9	488.070129	379.55952360
99.18301	18.07354	0.40	9	487.642896	392.50037890
99.18301	18.09854	0.40	9	487.230810	397.12911770
99.18301	18.12354	0.41	9	486.833909	403.18864680
99.18301	18.14854	0.43	9	486.452230	418.49584680
99.18301	18.17354	0.43	9	486.085811	424.01699070
99.18301	18.19854	0.43	9	485.734684	418.65765650
99.18301	18.22354	0.42	9	485.398884	410.05035980
99.18301	18.24854	0.40	9	485.078441	395.68361750
99.18301	18.27354	0.41	9	484.773387	404.77634340
99.18301	18.29854	0.42	9	484.483751	416.66886790
99.18301	18.32354	0.43	9	484.209560	422.12332660
99.18301	18.34854	0.43	9	483.950840	424.01699070
99.18301	18.37354	0.43	9	483.707617	424.01699070
99.20801	17.37354	0.27	8	502.536633	265.72000770
99.20801	17.39854	0.30	9	501.714895	292.21953740
99.20801	17.42354	0.33	9	500.906906	319.41730050
99.20801	17.44854	0.35	9	500.112734	345.52750610
99.20801	17.47354	0.38	9	499.332444	367.88372610
99.20801	17.49854	0.39	9	498.566101	383.26055330
99.20801	17.52354	0.40	9	497.813771	388.82876920
99.20801	17.54854	0.40	9	497.075515	388.82876920
99.20801	17.57354	0.39	9	496.351399	386.91843380
99.20801	17.59854	0.39	9	495.641482	381.58263550
99.20801	17.62354	0.38	9	494.945827	369.62342580
99.20801	17.64854	0.37	9	494.264494	362.44201600
99.20801	17.67354	0.37	9	493.597541	362.44201600
99.20801	17.69854	0.37	9	492.945028	362.44201600
99.20801	17.72354	0.37	9	492.307011	362.44201600
99.20801	17.74854	0.38	9	491.683548	369.32040030
99.20801	17.77354	0.38	9	491.074693	374.80820170
99.20801	17.79854	0.38	9	490.480501	374.80820170
99.20801	17.82354	0.38	9	489.901026	376.71657580
99.20801	17.84854	0.38	9	489.336319	376.71657580
99.20801	17.87354	0.38	9	488.786432	376.71657580
99.20801	17.89854	0.38	9	488.251414	371.31997630
99.20801	17.92354	0.36	9	487.731316	356.11182340
99.20801	17.94854	0.34	9	487.226184	333.94487180
99.20801	17.97354	0.31	9	486.736065	308.07394840
99.20801	17.99854	0.33	9	486.261005	321.27762200
99.20801	18.02354	0.35	9	485.801048	341.47049500
99.20801	18.04854	0.37	9	485.356236	358.06923080
99.20801	18.07354	0.38	9	484.926612	369.11446070
99.20801	18.09854	0.38	9	484.512215	374.08741290
99.20801	18.12354	0.40	9	484.113086	395.40510870
99.20801	18.14854	0.42	9	483.729261	409.89737600
99.20801	18.17354	0.42	9	483.360777	415.10961050
99.20801	18.19854	0.42	9	483.007669	410.05035980
99.20801	18.22354	0.40	9	482.669972	395.68361750
99.20801	18.24854	0.41	9	482.347716	401.53818760
99.20801	18.27354	0.42	9	482.040934	416.66886790
99.20801	18.29854	0.43	9	481.749655	422.12332660
99.20801	18.32354	0.43	9	481.473907	424.01699070
99.20801	18.34854	0.43	9	481.213716	424.01699070
99.20801	18.37354	0.43	9	480.969109	424.01699070
99.20801	18.39854	0.43	9	480.740108	424.01699070
99.20801	18.42354	0.43	9	480.526737	424.01699070
99.23301	17.42354	0.32	9	498.278114	313.95303510
99.23301	17.44854	0.35	9	497.479745	338.88153940
99.23301	17.47354	0.37	9	496.695319	360.09626530
99.23301	17.49854	0.38	9	495.924901	374.61304930
99.23301	17.52354	0.39	9	495.168558	383.26055330
99.23301	17.54854	0.40	9	494.426353	388.82876920
99.23301	17.57354	0.40	9	493.698350	388.82876920
99.23301	17.59854	0.39	9	492.984613	386.91843380
99.23301	17.62354	0.39	9	492.285204	381.58263550
99.23301	17.64854	0.38	9	491.600183	374.80820170
99.23301	17.67354	0.38	9	490.929611	374.80820170
99.23301	17.69854	0.38	9	490.273547	374.80820170
99.23301	17.72354	0.38	9	489.632049	374.80820170
99.23301	17.74854	0.38	9	489.005175	374.80820170
99.23301	17.77354	0.38	9	488.392981	376.71657580
99.23301	17.79854	0.38	9	487.795523	376.71657580
99.23301	17.82354	0.38	9	487.212854	376.71657580
99.23301	17.84854	0.38	9	486.645028	371.31997630
99.23301	17.87354	0.38	9	486.092096	367.75427830
99.23301	17.89854	0.37	9	485.554110	362.68031760
99.23301	17.92354	0.36	9	485.031119	348.33907270
99.23301	17.94854	0.33	9	484.523172	327.32440240
99.23301	17.97354	0.31	9	484.030317	302.64596760
99.23301	17.99854	0.31	9	483.552598	302.38707210
99.23301	18.02354	0.33	9	483.090062	319.58205220
99.23301	18.04854	0.34	9	482.642752	333.49572720
99.23301	18.07354	0.35	9	482.210710	342.64140900
99.23301	18.09854	0.37	9	481.793978	360.34437360
99.23301	18.12354	0.39	9	481.392594	379.55952360
99.23301	18.14854	0.40	9	481.006599	392.50037890
99.23301	18.17354	0.40	9	480.636027	397.12911770
99.23301	18.19854	0.40	9	480.280916	392.63669140
99.23301	18.22354	0.39	9	479.941300	380.78339350
99.23301	18.24854	0.41	9	479.617211	403.18864680
99.23301	18.27354	0.43	9	479.308682	418.49584680
99.23301	18.29854	0.43	9	479.015741	424.01699070
99.23301	18.32354	0.43	9	478.738418	424.01699070
99.23301	18.34854	0.43	9	478.476740	424.01699070
99.23301	18.37354	0.43	9	478.230733	424.01699070
99.23301	18.39854	0.43	9	478.000420	422.12332660
99.23301	18.42354	0.43	9	477.785825	424.01699070
99.25801	17.42354	0.31	9	495.650637	302.67342630
99.25801	17.44854	0.33	9	494.848029	325.29344520
99.25801	17.47354	0.35	9	494.059424	344.31148150
99.25801	17.49854	0.37	9	493.284890	360.09626530
99.25801	17.52354	0.38	9	492.524492	374.61304930
99.25801	17.54854	0.39	9	491.778297	383.26055330
99.25801	17.57354	0.40	9	491.046369	388.82876920
99.25801	17.59854	0.40	9	490.328772	388.82876920
99.25801	17.62354	0.39	9	489.625568	386.91843380
99.25801	17.64854	0.39	9	488.936821	386.91843380
99.25801	17.67354	0.39	9	488.262591	381.58263550
99.25801	17.69854	0.38	9	487.602939	376.71657580
99.25801	17.72354	0.38	9	486.957923	376.71657580
99.25801	17.74854	0.38	9	486.327602	376.71657580
99.25801	17.77354	0.38	9	485.712034	376.71657580
99.25801	17.79854	0.38	9	485.111273	374.80820170
99.25801	17.82354	0.38	9	484.525376	369.48122940
99.25801	17.84854	0.37	9	483.954397	362.68031760
99.25801	17.87354	0.36	9	483.398388	349.77770820
99.25801	17.89854	0.35	9	482.857400	345.31077910
99.25801	17.92354	0.34	9	482.331485	332.61018670
99.25801	17.94854	0.32	9	481.820693	313.80887730
99.25801	17.97354	0.30	9	481.325070	297.70439670
99.25801	17.99854	0.33	9	480.844664	319.36042190
99.25801	18.02354	0.34	9	480.379520	337.47624650
99.25801	18.04854	0.36	9	479.929684	349.69827430
99.25801	18.07354	0.36	9	479.495197	354.07400160
99.25801	18.09854	0.36	9	479.076103	354.07400160
99.25801	18.12354	0.37	9	478.672440	358.06923080
99.25801	18.14854	0.38	9	478.284249	369.11446070
99.25801	18.17354	0.38	9	477.911567	373.03908200
99.25801	18.19854	0.38	9	477.554430	369.23017920
99.25801	18.22354	0.38	9	477.212874	374.08741290
99.25801	18.24854	0.40	9	476.886931	395.40510870
99.25801	18.27354	0.42	9	476.576633	409.89737600
99.25801	18.29854	0.43	9	476.282012	418.49584680
99.25801	18.32354	0.43	9	476.003097	424.01699070
99.25801	18.34854	0.43	9	475.739914	424.01699070
99.25801	18.37354	0.43	9	475.492491	424.01699070
99.25801	18.39854	0.43	9	475.260852	424.01699070
99.25801	18.42354	0.43	9	475.045019	424.01699070
99.25801	18.44854	0.43	9	474.845014	424.01699070
99.25801	18.47354	0.43	9	474.660859	424.01699070
99.28301	17.32354	0.21	8	496.391310	204.60692630
99.28301	17.34854	0.23	8	495.528859	223.87209020
99.28301	17.37354	0.25	8	494.680193	244.45134520
99.28301	17.39854	0.27	8	493.845382	265.82101620
99.28301	17.42354	0.29	8	493.024496	287.05535550
99.28301	17.44854	0.31	9	492.217606	306.74710870
99.28301	17.47354	0.33	9	491.424780	325.29344520
99.28301	17.49854	0.35	9	490.646087	344.31148150
99.28301	17.52354	0.37	9	489.881593	360.09626530
99.28301	17.54854	0.38	9	489.131366	374.61304930
99.28301	17.57354	0.39	9	488.395471	383.26055330
99.28301	17.59854	0.40	9	487.673973	388.82876920
99.28301	17.62354	0.40	9	486.966936	388.82876920
99.28301	17.64854	0.40	9	486.274424	388.82876920
99.28301	17.67354	0.39	9	485.596497	386.91843380
99.28301	17.69854	0.39	9	484.933218	381.58263550
99.28301	17.72354	0.38	9	484.284647	369.62342580
99.28301	17.74854	0.38	9	483.650842	371.15620520
99.28301	17.77354	0.38	9	483.031862	376.71657580
99.28301	17.79854	0.38	9	482.427764	376.71657580
99.28301	17.82354	0.38	9	481.838604	374.80820170
99.28301	17.84854	0.38	9	481.264437	369.48122940
99.28301	17.87354	0.36	9	480.705316	357.55242030
99.28301	17.89854	0.35	9	480.161295	343.71033390
99.28301	17.92354	0.33	9	479.632424	323.36349640
99.28301	17.94854	0.31	9	479.118753	299.38133390
99.28301	17.97354	0.32	9	478.620333	310.66388470
99.28301	17.99854	0.34	9	478.137209	334.90200080
99.28301	18.02354	0.36	9	477.669429	355.45379720
99.28301	18.04854	0.38	9	477.217038	369.47534540
99.28301	18.07354	0.38	9	476.780080	374.52773150
99.28301	18.09854	0.38	9	476.358596	374.52773150
99.28301	18.12354	0.38	9	475.952629	369.62342580
99.28301	18.14854	0.36	9	475.562218	355.72348010
99.28301	18.17354	0.36	9	475.187401	349.82674150
99.28301	18.19854	0.35	9	474.828215	342.73653350
99.28301	18.22354	0.37	9	474.484696	360.34437360
99.28301	18.24854	0.39	9	474.156878	380.78339350
99.28301	18.27354	0.41	9	473.844793	403.18864680
99.28301	18.29854	0.43	9	473.548472	418.49584680
99.28301	18.32354	0.43	9	473.267946	424.01699070
99.28301	18.34854	0.43	9	473.003241	424.01699070
99.28301	18.37354	0.43	9	472.754386	424.01699070
99.28301	18.39854	0.43	9	472.521404	424.01699070
99.28301	18.42354	0.43	9	472.304319	424.01699070
99.28301	18.44854	0.43	9	472.103154	424.01699070
99.28301	18.47354	0.43	9	471.917928	424.01699070
99.28301	18.49854	0.43	9	471.748661	424.01699070
99.30801	17.27354	0.17	8	495.559680	165.18125130
99.30801	17.29854	0.18	8	494.665205	180.02165470
99.30801	17.32354	0.20	8	493.784424	196.18007190
99.30801	17.34854	0.22	8	492.917412	213.54470710
99.30801	17.37354	0.24	8	492.064242	231.83312870
99.30801	17.39854	0.26	8	491.224985	250.52362290
99.30801	17.42354	0.27	8	490.399714	268.77674050
99.30801	17.44854	0.29	8	489.588498	287.05535550
99.30801	17.47354	0.32	9	488.791407	310.66388470
99.30801	17.49854	0.34	9	488.008512	334.90200080
99.30801	17.52354	0.36	9	487.239880	355.45379720
99.30801	17.54854	0.38	9	486.485579	369.47534540
99.30801	17.57354	0.38	9	485.745676	374.61304930
99.30801	17.59854	0.39	9	485.020236	379.85274240
99.30801	17.62354	0.39	9	484.309325	383.26055330
99.30801	17.64854	0.40	9	483.613007	388.82876920
99.30801	17.67354	0.40	9	482.931344	388.82876920
99.30801	17.69854	0.39	9	482.264400	386.91843380
99.30801	17.72354	0.39	9	481.612234	381.58263550
99.30801	17.74854	0.38	9	480.974908	369.62342580
99.30801	17.77354	0.38	9	480.352480	371.15620520
99.30801	17.79854	0.38	9	479.745008	376.71657580
99.30801	17.82354	0.38	9	479.152549	376.71657580
99.30801	17.84854	0.38	9	478.575160	374.80820170
99.30801	17.87354	0.38	9	478.012894	369.48122940
99.30801	17.89854	0.36	9	477.465804	354.46136430
99.30801	17.92354	0.34	9	476.933944	332.54154020
99.30801	17.94854	0.31	9	476.417364	306.92657040
99.30801	17.97354	0.32	9	475.916114	318.26207710
99.30801	17.99854	0.35	9	475.430243	344.11927120
99.30801	18.02354	0.37	9	474.959797	366.23032490
99.30801	18.04854	0.39	9	474.504823	381.42180640
99.30801	18.07354	0.39	9	474.065364	386.91843380
99.30801	18.09854	0.39	9	473.641465	386.91843380
99.30801	18.12354	0.39	9	473.233167	381.58263550
99.30801	18.14854	0.38	9	472.840510	374.52773150
99.30801	18.17354	0.38	9	472.463534	369.62342580
99.30801	18.19854	0.36	9	472.102276	355.72348010
99.30801	18.22354	0.36	9	471.756772	349.82674150
99.30801	18.24854	0.38	9	471.427057	374.08741290
99.30801	18.27354	0.40	9	471.113163	395.40510870
99.30801	18.29854	0.42	9	470.815124	409.89737600
99.30801	18.32354	0.42	9	470.532968	415.10961050
99.30801	18.34854	0.42	9	470.266724	415.10961050
99.30801	18.37354	0.42	9	470.016419	415.10961050
99.30801	18.39854	0.42	9	469.782080	415.10961050
99.30801	18.42354	0.42	9	469.563729	415.10961050
99.30801	18.44854	0.42	9	469.361389	415.10961050
99.30801	18.47354	0.42	9	469.175080	415.10961050
99.33301	17.27354	0.16	7	492.963738	158.65002240
99.33301	17.29854	0.18	8	492.064543	172.12337880
99.33301	17.32354	0.19	8	491.179099	186.62251080
99.33301	17.34854	0.21	8	490.307481	201.99247340
99.33301	17.37354	0.22	8	489.449761	217.93612490
99.33301	17.39854	0.25	8	488.606014	240.33843620
99.33301	17.42354	0.27	8	487.776311	264.98450900
99.33301	17.44854	0.30	9	486.960725	291.29280890
99.33301	17.47354	0.32	9	486.159326	318.26207710
99.33301	17.49854	0.35	9	485.372185	344.11927120
99.33301	17.52354	0.37	9	484.599372	366.23032490
99.33301	17.54854	0.39	9	483.840954	381.42180640
99.33301	17.57354	0.39	9	483.097000	386.91843380
99.33301	17.59854	0.39	9	482.367577	381.58263550
99.33301	17.62354	0.38	9	481.652751	374.61304930
99.33301	17.64854	0.39	9	480.952586	383.26055330
99.33301	17.67354	0.40	9	480.267148	388.82876920
99.33301	17.69854	0.40	9	479.596498	388.82876920
99.33301	17.72354	0.39	9	478.940700	386.91843380
99.33301	17.74854	0.39	9	478.299814	381.58263550
99.33301	17.77354	0.38	9	477.673900	374.80820170
99.33301	17.79854	0.38	9	477.063018	374.80820170
99.33301	17.82354	0.38	9	476.467224	376.71657580
99.33301	17.84854	0.38	9	475.886576	376.71657580
99.33301	17.87354	0.38	9	475.321130	371.31997630
99.33301	17.89854	0.36	9	474.770939	356.11182340
99.33301	17.92354	0.34	9	474.236057	333.94487180
99.33301	17.94854	0.32	9	473.716535	313.47741260
99.33301	17.97354	0.33	9	473.212424	319.41730050
99.33301	17.99854	0.35	9	472.723774	345.52750610
99.33301	18.02354	0.38	9	472.250631	367.88372610
99.33301	18.04854	0.39	9	471.793045	383.26055330
99.33301	18.07354	0.40	9	471.351058	388.82876920
99.33301	18.09854	0.40	9	470.924715	388.82876920
99.33301	18.12354	0.39	9	470.514060	386.91843380
99.33301	18.14854	0.39	9	470.119132	386.91843380
99.33301	18.17354	0.39	9	469.739972	381.58263550
99.33301	18.19854	0.38	9	469.376618	374.52773150
99.33301	18.22354	0.38	9	469.029106	369.62342580
99.33301	18.24854	0.37	9	468.697472	360.34437360
99.33301	18.27354	0.39	9	468.381749	379.55952360
99.33301	18.29854	0.40	9	468.081970	392.50037890
99.33301	18.32354	0.40	9	467.798166	397.12911770
99.33301	18.34854	0.40	9	467.530364	397.12911770
99.33301	18.37354	0.40	9	467.278594	397.12911770
99.33301	18.39854	0.40	9	467.042881	397.12911770
99.33301	18.42354	0.40	9	466.823249	397.12911770
99.33301	18.44854	0.40	9	466.619720	397.12911770
99.33301	18.47354	0.40	9	466.432317	397.12911770
99.33301	18.49854	0.40	9	466.261058	397.12911770
99.33301	18.52354	0.40	9	466.105961	397.12911770
99.33301	18.54854	0.41	9	465.967043	403.18864680
99.33301	18.57354	0.43	9	465.844317	418.49584680
99.33301	18.62354	0.43	9	465.647494	422.12332660
99.33301	18.64854	0.43	9	465.573417	416.82969690
99.35801	17.24854	0.14	7	491.287166	140.26157300
99.35801	17.27354	0.15	7	490.369475	151.49607120
99.35801	17.29854	0.17	8	489.465515	163.57296070
99.35801	17.32354	0.18	8	488.575361	179.68528660
99.35801	17.34854	0.20	8	487.699088	197.88446770
99.35801	17.37354	0.22	8	486.836773	218.27053170
99.35801	17.39854	0.25	8	485.988489	240.91997060
99.35801	17.42354	0.27	8	485.154310	265.72000770
99.35801	17.44854	0.30	9	484.334309	292.21953740
99.35801	17.47354	0.33	9	483.528557	319.41730050
99.35801	17.49854	0.35	9	482.737126	345.52750610
99.35801	17.52354	0.38	9	481.960088	367.88372610
99.35801	17.54854	0.39	9	481.197510	383.26055330
